Date          Steps
2023-01-01     3844
2023-01-02     14380
2023-01-03     4476
2023-01-04     2113
2023-01-05     11940
2023-01-06     3934
2023-01-07     4220
2023-01-08     8861
2023-01-09     5566
2023-01-10     8318
2023-01-11     3902
2023-01-12     13376
2023-01-13     6094
2023-01-14     1230
2023-01-15     14078
2023-01-16     2849
2023-01-17     5123
2023-01-18     11430
2023-01-19     8361
2023-01-20     6572
2023-01-21     8064
2023-01-22     6301
2023-01-23     6527
2023-01-24     12939
2023-01-25     3570
2023-01-26     12655
2023-01-27     4823
2023-01-28     14384
2023-01-29     4468
2023-01-30     7045
2023-01-31     14035
2023-02-01     4715
2023-02-02     13200
2023-02-03     3416
2023-02-04     3639
2023-02-05     13751
2023-02-06     10374
2023-02-07     4466
2023-02-08     9730
2023-02-09     1455
2023-02-10     3492
2023-02-11     3060
2023-02-12     3574
2023-02-13     3830
2023-02-14     5470
2023-02-15     11340
2023-02-16     10557
2023-02-17     10192
2023-02-18     10755
2023-02-19     13562
2023-02-20     11458
2023-02-21     9426
2023-02-22     12668
2023-02-23     11510
2023-02-24     6698
2023-02-25     6349
2023-02-26     14827
2023-02-27     13998
2023-02-28     4590
2023-03-01     2025
2023-03-02     13508
2023-03-03     13782
2023-03-04     13817
2023-03-05     10397
2023-03-06     12607
2023-03-07     9151
2023-03-08     1012
2023-03-09     2153
2023-03-10     2474
2023-03-11     2193
2023-03-12     14920
2023-03-13     14025
2023-03-14     14429
2023-03-15     3054
2023-03-16     12617
2023-03-17     10833
2023-03-18     14919
2023-03-19     3735
2023-03-20     3794
2023-03-21     10084
2023-03-22     12016
2023-03-23     2677
2023-03-24     9991
2023-03-25     8279
2023-03-26     11326
2023-03-27     11696
2023-03-28     9454
2023-03-29     11876
2023-03-30     9269
2023-03-31     10828
2023-04-01     3586
2023-04-02     9036
2023-04-03     4589
2023-04-04     9901
2023-04-05     4590
2023-04-06     11636
2023-04-07     9583
2023-04-08     10909
2023-04-09     2042
2023-04-10     5364
2023-04-11     9522
2023-04-12     11090
2023-04-13     13523
2023-04-14     9948
2023-04-15     1788
2023-04-16     6623
2023-04-17     11773
2023-04-18     14641
2023-04-19     9327
2023-04-20     4944
2023-04-21     5226
2023-04-22     11746
2023-04-23     13684
2023-04-24     6224
2023-04-25     4062
2023-04-26     8948
2023-04-27     5866
2023-04-28     4549
2023-04-29     13950
2023-04-30     5396
2023-05-01     5736
2023-05-02     2458
2023-05-03     13224
2023-05-04     2186
2023-05-05     9861
2023-05-06     9711
2023-05-07     9661
2023-05-08     10972
2023-05-09     14358
2023-05-10     7663
2023-05-11     11250
2023-05-12     2417
2023-05-13     13285
2023-05-14     6114
